"ID","group","day_cluster","link"
"G9_01",9,1,"https://www.google.com/maps/search/?api=1&query=23.69945321,90.49025797"
"G9_02",9,1,"https://www.google.com/maps/search/?api=1&query=23.70102885,90.48863537"
"G9_03",9,1,"https://www.google.com/maps/search/?api=1&query=23.69760301,90.48726354"
"G9_04",9,1,"https://www.google.com/maps/search/?api=1&query=23.70170566,90.48901178"
"G9_05",9,1,"https://www.google.com/maps/search/?api=1&query=23.70278875,90.49078994"
"G9_06",9,1,"https://www.google.com/maps/search/?api=1&query=23.70314717,90.48700281"
"G9_07",9,1,"https://www.google.com/maps/search/?api=1&query=23.70848715,90.48982736"
"G9_08",9,2,"https://www.google.com/maps/search/?api=1&query=23.70874426,90.47631343"
"G9_09",9,2,"https://www.google.com/maps/search/?api=1&query=23.70909848,90.47859484"
"G9_10",9,2,"https://www.google.com/maps/search/?api=1&query=23.71419043,90.47912497"
"G9_11",9,2,"https://www.google.com/maps/search/?api=1&query=23.71098250,90.47278406"
"G9_12",9,2,"https://www.google.com/maps/search/?api=1&query=23.71134911,90.46929977"
"G9_13",9,2,"https://www.google.com/maps/search/?api=1&query=23.71297071,90.47578809"
"G9_14",9,2,"https://www.google.com/maps/search/?api=1&query=23.70916806,90.47546200"
"G9_15",9,2,"https://www.google.com/maps/search/?api=1&query=23.71489607,90.47605324"
"G9_16",9,3,"https://www.google.com/maps/search/?api=1&query=23.74541939,90.48797223"
"G9_17",9,3,"https://www.google.com/maps/search/?api=1&query=23.72627397,90.49405044"
"G9_18",9,3,"https://www.google.com/maps/search/?api=1&query=23.72783736,90.49390789"
"G9_19",9,3,"https://www.google.com/maps/search/?api=1&query=23.76957250,90.48147431"
"G9_20",9,3,"https://www.google.com/maps/search/?api=1&query=23.73365335,90.47735109"
"G9_21",9,3,"https://www.google.com/maps/search/?api=1&query=23.73269622,90.49346419"
"G9_22",9,3,"https://www.google.com/maps/search/?api=1&query=23.73604731,90.48664900"
"G9_23",9,3,"https://www.google.com/maps/search/?api=1&query=23.73895421,90.49058971"
"G9_24",9,3,"https://www.google.com/maps/search/?api=1&query=23.73002153,90.48821796"
"G9_25",9,3,"https://www.google.com/maps/search/?api=1&query=23.75216774,90.48566830"
"G9_26",9,4,"https://www.google.com/maps/search/?api=1&query=23.71734595,90.48551802"
"G9_27",9,4,"https://www.google.com/maps/search/?api=1&query=23.71222039,90.48426383"
"G9_28",9,4,"https://www.google.com/maps/search/?api=1&query=23.71542447,90.48865760"
"G9_29",9,4,"https://www.google.com/maps/search/?api=1&query=23.71700728,90.49226831"
"G9_30",9,4,"https://www.google.com/maps/search/?api=1&query=23.71842991,90.48777132"
"G9_31",9,4,"https://www.google.com/maps/search/?api=1&query=23.72403906,90.49266917"
"G9_32",9,5,"https://www.google.com/maps/search/?api=1&query=23.72194141,90.46906136"
"G9_33",9,5,"https://www.google.com/maps/search/?api=1&query=23.71861189,90.47493153"
"G9_34",9,5,"https://www.google.com/maps/search/?api=1&query=23.71268141,90.47002949"
"G9_35",9,5,"https://www.google.com/maps/search/?api=1&query=23.71877349,90.47844275"
"G9_36",9,5,"https://www.google.com/maps/search/?api=1&query=23.71466621,90.46816100"
"G9_37",9,5,"https://www.google.com/maps/search/?api=1&query=23.71610709,90.47648006"
"G9_38",9,5,"https://www.google.com/maps/search/?api=1&query=23.73004447,90.47269218"
"G9_39",9,6,"https://www.google.com/maps/search/?api=1&query=23.71012476,90.49851687"
"G9_40",9,6,"https://www.google.com/maps/search/?api=1&query=23.70980688,90.50385747"
"G9_41",9,6,"https://www.google.com/maps/search/?api=1&query=23.70997121,90.49810892"
"G9_42",9,6,"https://www.google.com/maps/search/?api=1&query=23.70932240,90.50198745"
"G9_43",9,6,"https://www.google.com/maps/search/?api=1&query=23.70923225,90.50719329"
"G9_44",9,6,"https://www.google.com/maps/search/?api=1&query=23.71057320,90.50687349"
"G9_45",9,6,"https://www.google.com/maps/search/?api=1&query=23.71464909,90.49881933"
"G9_46",9,6,"https://www.google.com/maps/search/?api=1&query=23.71045774,90.49781771"
"G9_47",9,6,"https://www.google.com/maps/search/?api=1&query=23.70877543,90.49848596"
"G9_48",9,7,"https://www.google.com/maps/search/?api=1&query=23.70474562,90.47560276"
"G9_49",9,7,"https://www.google.com/maps/search/?api=1&query=23.70470958,90.47323464"
"G9_50",9,7,"https://www.google.com/maps/search/?api=1&query=23.70759756,90.47492234"
"G9_51",9,7,"https://www.google.com/maps/search/?api=1&query=23.70412959,90.47462411"
"G9_52",9,7,"https://www.google.com/maps/search/?api=1&query=23.70009643,90.47688223"
"G9_53",9,7,"https://www.google.com/maps/search/?api=1&query=23.70769456,90.47160953"
"G9_54",9,7,"https://www.google.com/maps/search/?api=1&query=23.70697478,90.47372499"
"G9_55",9,7,"https://www.google.com/maps/search/?api=1&query=23.70741752,90.47452848"
