"G_ID","group","clusters","x","y","link","geometry"
"G3_27",3,3,90.3642753254379,23.7438459415467,"https://www.google.com/maps/search/?api=1&query=23.74384594,90.36427532",c(90.3642753254379, 23.7438459415467)
"G3_28",3,3,90.3592588128735,23.7360870031329,"https://www.google.com/maps/search/?api=1&query=23.73608700,90.35925881",c(90.3592588128735, 23.7360870031329)
"G3_29",3,3,90.3573152767047,23.7304071469132,"https://www.google.com/maps/search/?api=1&query=23.73040714,90.35731527",c(90.3573152767047, 23.7304071469132)
"G3_30",3,3,90.3626836032832,23.7303314618495,"https://www.google.com/maps/search/?api=1&query=23.73033146,90.36268360",c(90.3626836032832, 23.7303314618495)
"G3_31",3,3,90.3609351866038,23.7389522796655,"https://www.google.com/maps/search/?api=1&query=23.73895227,90.36093518",c(90.3609351866038, 23.7389522796655)
"G3_32",3,3,90.3576035153289,23.7348591406194,"https://www.google.com/maps/search/?api=1&query=23.73485914,90.35760351",c(90.3576035153289, 23.7348591406194)
"G3_33",3,3,90.3614523374753,23.7325584936356,"https://www.google.com/maps/search/?api=1&query=23.73255849,90.36145233",c(90.3614523374753, 23.7325584936356)
"G3_34",3,3,90.3548620961246,23.7352445094434,"https://www.google.com/maps/search/?api=1&query=23.73524450,90.35486209",c(90.3548620961246, 23.7352445094434)
"G3_35",3,3,90.3562809231568,23.7399416522526,"https://www.google.com/maps/search/?api=1&query=23.73994165,90.35628092",c(90.3562809231568, 23.7399416522526)
"G3_36",3,3,90.3660769282678,23.7411063802775,"https://www.google.com/maps/search/?api=1&query=23.74110638,90.36607692",c(90.3660769282678, 23.7411063802775)
"G3_37",3,4,90.3953568573104,23.7239094574863,"https://www.google.com/maps/search/?api=1&query=23.72390945,90.39535685",c(90.3953568573104, 23.7239094574863)
"G3_38",3,4,90.3814492448694,23.7178170658137,"https://www.google.com/maps/search/?api=1&query=23.71781706,90.38144924",c(90.3814492448694, 23.7178170658137)
"G3_39",3,4,90.3830236586931,23.7208735112906,"https://www.google.com/maps/search/?api=1&query=23.72087351,90.38302365",c(90.3830236586931, 23.7208735112906)
"G3_40",3,4,90.389125999942,23.7246316270046,"https://www.google.com/maps/search/?api=1&query=23.72463162,90.38912599",c(90.389125999942, 23.7246316270046)
"G3_41",3,4,90.3832095292437,23.7241760249225,"https://www.google.com/maps/search/?api=1&query=23.72417602,90.38320952",c(90.3832095292437, 23.7241760249225)
"G3_42",3,4,90.3866499362466,23.7321514107416,"https://www.google.com/maps/search/?api=1&query=23.73215141,90.38664993",c(90.3866499362466, 23.7321514107416)
"G3_43",3,4,90.3909215951494,23.7176787838146,"https://www.google.com/maps/search/?api=1&query=23.71767878,90.39092159",c(90.3909215951494, 23.7176787838146)
"G3_44",3,4,90.3904696588678,23.7290299047554,"https://www.google.com/maps/search/?api=1&query=23.72902990,90.39046965",c(90.3904696588678, 23.7290299047554)
"G3_45",3,4,90.3877166060219,23.7183225859869,"https://www.google.com/maps/search/?api=1&query=23.71832258,90.38771660",c(90.3877166060219, 23.7183225859869)
"G3_46",3,4,90.3811429302261,23.7221158513214,"https://www.google.com/maps/search/?api=1&query=23.72211585,90.38114293",c(90.3811429302261, 23.7221158513214)
"G3_47",3,4,90.3895223101165,23.7121804407578,"https://www.google.com/maps/search/?api=1&query=23.71218044,90.38952231",c(90.3895223101165, 23.7121804407578)
"G3_48",3,4,90.3916876634417,23.7252778268858,"https://www.google.com/maps/search/?api=1&query=23.72527782,90.39168766",c(90.3916876634417, 23.7252778268858)
"G3_49",3,4,90.3897296040779,23.7336651492265,"https://www.google.com/maps/search/?api=1&query=23.73366514,90.38972960",c(90.3897296040779, 23.7336651492265)
"G3_50",3,4,90.3860745319085,23.7255276952786,"https://www.google.com/maps/search/?api=1&query=23.72552769,90.38607453",c(90.3860745319085, 23.7255276952786)
"G3_51",3,4,90.3875811477225,23.7173619761401,"https://www.google.com/maps/search/?api=1&query=23.71736197,90.38758114",c(90.3875811477225, 23.7173619761401)
"G3_52",3,5,90.3616585504846,23.7211270815185,"https://www.google.com/maps/search/?api=1&query=23.72112708,90.36165855",c(90.3616585504846, 23.7211270815185)
"G3_53",3,5,90.3693489432714,23.7095310785189,"https://www.google.com/maps/search/?api=1&query=23.70953107,90.36934894",c(90.3693489432714, 23.7095310785189)
"G3_54",3,5,90.364451010711,23.7159057249278,"https://www.google.com/maps/search/?api=1&query=23.71590572,90.36445101",c(90.364451010711, 23.7159057249278)
"G3_55",3,5,90.379461197561,23.7119202402743,"https://www.google.com/maps/search/?api=1&query=23.71192024,90.37946119",c(90.379461197561, 23.7119202402743)
"G3_56",3,5,90.3665321976929,23.7158393608294,"https://www.google.com/maps/search/?api=1&query=23.71583936,90.36653219",c(90.3665321976929, 23.7158393608294)
"G3_57",3,5,90.3760653668108,23.7191424054124,"https://www.google.com/maps/search/?api=1&query=23.71914240,90.37606536",c(90.3760653668108, 23.7191424054124)
"G3_58",3,5,90.3829617934836,23.7101691032827,"https://www.google.com/maps/search/?api=1&query=23.71016910,90.38296179",c(90.3829617934836, 23.7101691032827)
"G3_59",3,5,90.3782453583361,23.7147093844479,"https://www.google.com/maps/search/?api=1&query=23.71470938,90.37824535",c(90.3782453583361, 23.7147093844479)
"G3_60",3,5,90.3659885132599,23.7163785721926,"https://www.google.com/maps/search/?api=1&query=23.71637857,90.36598851",c(90.3659885132599, 23.7163785721926)
