"ID","group","day_cluster","link"
"G3_01",3,1,"https://www.google.com/maps/search/?api=1&query=23.85785519,90.41352919"
"G3_02",3,1,"https://www.google.com/maps/search/?api=1&query=23.85069266,90.40568567"
"G3_03",3,1,"https://www.google.com/maps/search/?api=1&query=23.85999993,90.41947230"
"G3_04",3,1,"https://www.google.com/maps/search/?api=1&query=23.86016521,90.41874949"
"G3_05",3,1,"https://www.google.com/maps/search/?api=1&query=23.85718405,90.41149891"
"G3_06",3,1,"https://www.google.com/maps/search/?api=1&query=23.85519922,90.41827833"
"G3_07",3,1,"https://www.google.com/maps/search/?api=1&query=23.85581121,90.41190911"
"G3_08",3,1,"https://www.google.com/maps/search/?api=1&query=23.85140334,90.41851150"
"G3_09",3,2,"https://www.google.com/maps/search/?api=1&query=23.84474145,90.44355539"
"G3_10",3,2,"https://www.google.com/maps/search/?api=1&query=23.84894618,90.43706495"
"G3_11",3,2,"https://www.google.com/maps/search/?api=1&query=23.84620437,90.43713070"
"G3_12",3,2,"https://www.google.com/maps/search/?api=1&query=23.84348301,90.44619844"
"G3_13",3,2,"https://www.google.com/maps/search/?api=1&query=23.84807803,90.43411545"
"G3_14",3,3,"https://www.google.com/maps/search/?api=1&query=23.86674938,90.42217559"
"G3_15",3,3,"https://www.google.com/maps/search/?api=1&query=23.87061149,90.42498323"
"G3_16",3,3,"https://www.google.com/maps/search/?api=1&query=23.86730821,90.42275761"
"G3_17",3,3,"https://www.google.com/maps/search/?api=1&query=23.86615603,90.42399124"
"G3_18",3,3,"https://www.google.com/maps/search/?api=1&query=23.86438079,90.42769037"
"G3_19",3,3,"https://www.google.com/maps/search/?api=1&query=23.86315664,90.42097390"
"G3_20",3,3,"https://www.google.com/maps/search/?api=1&query=23.86650118,90.41659440"
"G3_21",3,3,"https://www.google.com/maps/search/?api=1&query=23.86459953,90.42055210"
"G3_22",3,4,"https://www.google.com/maps/search/?api=1&query=23.83356223,90.42723849"
"G3_23",3,4,"https://www.google.com/maps/search/?api=1&query=23.83405400,90.41708093"
"G3_24",3,4,"https://www.google.com/maps/search/?api=1&query=23.84089545,90.41144599"
"G3_25",3,4,"https://www.google.com/maps/search/?api=1&query=23.84422117,90.42283501"
"G3_26",3,4,"https://www.google.com/maps/search/?api=1&query=23.83977782,90.42082105"
"G3_27",3,4,"https://www.google.com/maps/search/?api=1&query=23.83550720,90.42037528"
"G3_28",3,4,"https://www.google.com/maps/search/?api=1&query=23.84205402,90.42409780"
"G3_29",3,5,"https://www.google.com/maps/search/?api=1&query=23.86334167,90.40468205"
"G3_30",3,5,"https://www.google.com/maps/search/?api=1&query=23.85618087,90.40167578"
"G3_31",3,5,"https://www.google.com/maps/search/?api=1&query=23.86516915,90.40739020"
"G3_32",3,5,"https://www.google.com/maps/search/?api=1&query=23.85997371,90.40819960"
"G3_33",3,5,"https://www.google.com/maps/search/?api=1&query=23.86555150,90.40342059"
"G3_34",3,5,"https://www.google.com/maps/search/?api=1&query=23.86327455,90.41085833"
"G3_35",3,5,"https://www.google.com/maps/search/?api=1&query=23.86528901,90.40968733"
"G3_36",3,5,"https://www.google.com/maps/search/?api=1&query=23.86366692,90.40688847"
"G3_37",3,6,"https://www.google.com/maps/search/?api=1&query=23.86824689,90.41752707"
"G3_38",3,6,"https://www.google.com/maps/search/?api=1&query=23.87353555,90.41030294"
"G3_39",3,6,"https://www.google.com/maps/search/?api=1&query=23.88150787,90.41201576"
"G3_40",3,6,"https://www.google.com/maps/search/?api=1&query=23.87682734,90.41718068"
"G3_41",3,6,"https://www.google.com/maps/search/?api=1&query=23.87391020,90.41814405"
"G3_42",3,7,"https://www.google.com/maps/search/?api=1&query=23.85564162,90.43590627"
"G3_43",3,7,"https://www.google.com/maps/search/?api=1&query=23.85564146,90.43205024"
"G3_44",3,7,"https://www.google.com/maps/search/?api=1&query=23.85180250,90.43297004"
"G3_45",3,7,"https://www.google.com/maps/search/?api=1&query=23.85598461,90.42292833"
"G3_46",3,7,"https://www.google.com/maps/search/?api=1&query=23.85098567,90.42935454"
"G3_47",3,7,"https://www.google.com/maps/search/?api=1&query=23.85320701,90.43216572"
"G3_48",3,7,"https://www.google.com/maps/search/?api=1&query=23.85140937,90.42863021"
"G3_49",3,7,"https://www.google.com/maps/search/?api=1&query=23.85537924,90.42405249"
"G3_50",3,7,"https://www.google.com/maps/search/?api=1&query=23.85771966,90.42268560"
"G3_51",3,7,"https://www.google.com/maps/search/?api=1&query=23.85401631,90.42431328"
