"ID","group","day_cluster","link"
"G10_01",10,1,"https://www.google.com/maps/search/?api=1&query=23.74023524,90.38871659"
"G10_02",10,1,"https://www.google.com/maps/search/?api=1&query=23.72751661,90.37950083"
"G10_03",10,1,"https://www.google.com/maps/search/?api=1&query=23.73208808,90.38748851"
"G10_04",10,1,"https://www.google.com/maps/search/?api=1&query=23.73310459,90.37965409"
"G10_05",10,1,"https://www.google.com/maps/search/?api=1&query=23.72311925,90.38157722"
"G10_06",10,1,"https://www.google.com/maps/search/?api=1&query=23.73488431,90.39301115"
"G10_07",10,1,"https://www.google.com/maps/search/?api=1&query=23.72288571,90.38335764"
"G10_08",10,1,"https://www.google.com/maps/search/?api=1&query=23.72649834,90.38070266"
"G10_09",10,1,"https://www.google.com/maps/search/?api=1&query=23.73743784,90.38543350"
"G10_10",10,1,"https://www.google.com/maps/search/?api=1&query=23.72376660,90.38075823"
"G10_11",10,1,"https://www.google.com/maps/search/?api=1&query=23.72990684,90.39039021"
"G10_12",10,2,"https://www.google.com/maps/search/?api=1&query=23.71030456,90.40235660"
"G10_13",10,2,"https://www.google.com/maps/search/?api=1&query=23.71657528,90.39680481"
"G10_14",10,2,"https://www.google.com/maps/search/?api=1&query=23.71344031,90.39942129"
"G10_15",10,2,"https://www.google.com/maps/search/?api=1&query=23.71205915,90.39889561"
"G10_16",10,2,"https://www.google.com/maps/search/?api=1&query=23.71565666,90.39518967"
"G10_17",10,2,"https://www.google.com/maps/search/?api=1&query=23.71411718,90.39503002"
"G10_18",10,3,"https://www.google.com/maps/search/?api=1&query=23.71240928,90.37815147"
"G10_19",10,3,"https://www.google.com/maps/search/?api=1&query=23.71446569,90.37834640"
"G10_20",10,3,"https://www.google.com/maps/search/?api=1&query=23.71814092,90.38523339"
"G10_21",10,3,"https://www.google.com/maps/search/?api=1&query=23.71183707,90.37853449"
"G10_22",10,3,"https://www.google.com/maps/search/?api=1&query=23.70996558,90.38556764"
"G10_23",10,3,"https://www.google.com/maps/search/?api=1&query=23.71341429,90.38029170"
"G10_24",10,3,"https://www.google.com/maps/search/?api=1&query=23.70911272,90.38065367"
"G10_25",10,3,"https://www.google.com/maps/search/?api=1&query=23.71705421,90.37719042"
"G10_26",10,3,"https://www.google.com/maps/search/?api=1&query=23.71771827,90.37918527"
"G10_27",10,3,"https://www.google.com/maps/search/?api=1&query=23.71690470,90.38512798"
"G10_28",10,4,"https://www.google.com/maps/search/?api=1&query=23.71960171,90.39816879"
"G10_29",10,4,"https://www.google.com/maps/search/?api=1&query=23.71711634,90.39863725"
"G10_30",10,4,"https://www.google.com/maps/search/?api=1&query=23.72270562,90.39866658"
"G10_31",10,4,"https://www.google.com/maps/search/?api=1&query=23.71903865,90.40538946"
"G10_32",10,4,"https://www.google.com/maps/search/?api=1&query=23.72094611,90.39735932"
"G10_33",10,4,"https://www.google.com/maps/search/?api=1&query=23.71850093,90.39938944"
"G10_34",10,5,"https://www.google.com/maps/search/?api=1&query=23.72306470,90.37300235"
"G10_35",10,5,"https://www.google.com/maps/search/?api=1&query=23.72737152,90.37064167"
"G10_36",10,5,"https://www.google.com/maps/search/?api=1&query=23.72074096,90.36637541"
"G10_37",10,5,"https://www.google.com/maps/search/?api=1&query=23.72267581,90.37233680"
"G10_38",10,5,"https://www.google.com/maps/search/?api=1&query=23.72060642,90.37074577"
"G10_39",10,5,"https://www.google.com/maps/search/?api=1&query=23.72570311,90.36766720"
"G10_40",10,5,"https://www.google.com/maps/search/?api=1&query=23.72054593,90.36892450"
"G10_41",10,5,"https://www.google.com/maps/search/?api=1&query=23.72596927,90.36923937"
"G10_42",10,5,"https://www.google.com/maps/search/?api=1&query=23.72590615,90.36171150"
"G10_43",10,6,"https://www.google.com/maps/search/?api=1&query=23.73269685,90.36193835"
"G10_44",10,6,"https://www.google.com/maps/search/?api=1&query=23.73768092,90.36616332"
"G10_45",10,6,"https://www.google.com/maps/search/?api=1&query=23.73918972,90.37412273"
"G10_46",10,6,"https://www.google.com/maps/search/?api=1&query=23.73497153,90.36660501"
"G10_47",10,6,"https://www.google.com/maps/search/?api=1&query=23.73528895,90.37062823"
"G10_48",10,6,"https://www.google.com/maps/search/?api=1&query=23.73186979,90.36948337"
"G10_49",10,6,"https://www.google.com/maps/search/?api=1&query=23.73821625,90.37833910"
"G10_50",10,6,"https://www.google.com/maps/search/?api=1&query=23.73871049,90.37099970"
"G10_51",10,6,"https://www.google.com/maps/search/?api=1&query=23.73802639,90.36681005"
"G10_52",10,6,"https://www.google.com/maps/search/?api=1&query=23.73782298,90.37756987"
"G10_53",10,7,"https://www.google.com/maps/search/?api=1&query=23.70989473,90.36948725"
"G10_54",10,7,"https://www.google.com/maps/search/?api=1&query=23.70931551,90.36733284"
"G10_55",10,7,"https://www.google.com/maps/search/?api=1&query=23.71651072,90.36179905"
"G10_56",10,7,"https://www.google.com/maps/search/?api=1&query=23.71691965,90.36985467"
"G10_57",10,7,"https://www.google.com/maps/search/?api=1&query=23.71715954,90.37157016"
"G10_58",10,7,"https://www.google.com/maps/search/?api=1&query=23.71567886,90.37067783"
