"ID","group","day_cluster","link"
"G12_01",12,1,"https://www.google.com/maps/search/?api=1&query=23.78318748,90.43210627"
"G12_02",12,1,"https://www.google.com/maps/search/?api=1&query=23.78230243,90.43520861"
"G12_03",12,1,"https://www.google.com/maps/search/?api=1&query=23.78260014,90.42677782"
"G12_04",12,1,"https://www.google.com/maps/search/?api=1&query=23.77880496,90.42336597"
"G12_05",12,1,"https://www.google.com/maps/search/?api=1&query=23.78099312,90.43499367"
"G12_06",12,1,"https://www.google.com/maps/search/?api=1&query=23.78232248,90.42755333"
"G12_07",12,1,"https://www.google.com/maps/search/?api=1&query=23.78026362,90.43059986"
"G12_08",12,1,"https://www.google.com/maps/search/?api=1&query=23.78454011,90.43381239"
"G12_09",12,1,"https://www.google.com/maps/search/?api=1&query=23.77717154,90.43083294"
"G12_10",12,2,"https://www.google.com/maps/search/?api=1&query=23.76547366,90.44671102"
"G12_11",12,2,"https://www.google.com/maps/search/?api=1&query=23.75717047,90.43706883"
"G12_12",12,2,"https://www.google.com/maps/search/?api=1&query=23.76026437,90.44002487"
"G12_13",12,2,"https://www.google.com/maps/search/?api=1&query=23.75360346,90.44138231"
"G12_14",12,2,"https://www.google.com/maps/search/?api=1&query=23.75815938,90.43862231"
"G12_15",12,2,"https://www.google.com/maps/search/?api=1&query=23.75571134,90.43765121"
"G12_16",12,2,"https://www.google.com/maps/search/?api=1&query=23.75840120,90.44547474"
"G12_17",12,2,"https://www.google.com/maps/search/?api=1&query=23.75885959,90.44239259"
"G12_18",12,3,"https://www.google.com/maps/search/?api=1&query=23.74547030,90.45659218"
"G12_19",12,3,"https://www.google.com/maps/search/?api=1&query=23.75124297,90.45092633"
"G12_20",12,3,"https://www.google.com/maps/search/?api=1&query=23.75021633,90.45713332"
"G12_21",12,3,"https://www.google.com/maps/search/?api=1&query=23.75347206,90.46438833"
"G12_22",12,3,"https://www.google.com/maps/search/?api=1&query=23.75137627,90.46313719"
"G12_23",12,4,"https://www.google.com/maps/search/?api=1&query=23.77933724,90.47234754"
"G12_24",12,4,"https://www.google.com/maps/search/?api=1&query=23.76193669,90.46414775"
"G12_25",12,4,"https://www.google.com/maps/search/?api=1&query=23.77770076,90.47334760"
"G12_26",12,4,"https://www.google.com/maps/search/?api=1&query=23.76164615,90.47580976"
"G12_27",12,4,"https://www.google.com/maps/search/?api=1&query=23.76426587,90.46518522"
"G12_28",12,4,"https://www.google.com/maps/search/?api=1&query=23.76014954,90.47677910"
"G12_29",12,5,"https://www.google.com/maps/search/?api=1&query=23.76253652,90.43174605"
"G12_30",12,5,"https://www.google.com/maps/search/?api=1&query=23.76560241,90.43559965"
"G12_31",12,5,"https://www.google.com/maps/search/?api=1&query=23.76308712,90.43226511"
"G12_32",12,5,"https://www.google.com/maps/search/?api=1&query=23.76249246,90.43337622"
"G12_33",12,5,"https://www.google.com/maps/search/?api=1&query=23.76598678,90.43726598"
"G12_34",12,5,"https://www.google.com/maps/search/?api=1&query=23.75904395,90.43104282"
"G12_35",12,5,"https://www.google.com/maps/search/?api=1&query=23.76122175,90.43343169"
"G12_36",12,6,"https://www.google.com/maps/search/?api=1&query=23.77284983,90.42803087"
"G12_37",12,6,"https://www.google.com/maps/search/?api=1&query=23.77421169,90.43387069"
"G12_38",12,6,"https://www.google.com/maps/search/?api=1&query=23.77013650,90.43018388"
"G12_39",12,6,"https://www.google.com/maps/search/?api=1&query=23.76547114,90.42503217"
"G12_40",12,6,"https://www.google.com/maps/search/?api=1&query=23.77104943,90.42519436"
"G12_41",12,6,"https://www.google.com/maps/search/?api=1&query=23.77550752,90.42796461"
"G12_42",12,7,"https://www.google.com/maps/search/?api=1&query=23.78886948,90.44229933"
"G12_43",12,7,"https://www.google.com/maps/search/?api=1&query=23.79056769,90.44002085"
"G12_44",12,7,"https://www.google.com/maps/search/?api=1&query=23.78640479,90.43814043"
"G12_45",12,7,"https://www.google.com/maps/search/?api=1&query=23.78856318,90.43771654"
"G12_46",12,7,"https://www.google.com/maps/search/?api=1&query=23.79049082,90.44576372"
"G12_47",12,7,"https://www.google.com/maps/search/?api=1&query=23.78760856,90.44380761"
"G12_48",12,7,"https://www.google.com/maps/search/?api=1&query=23.78499970,90.43778298"
