"ID","group","day_cluster","link"
"G15_01",15,1,"https://www.google.com/maps/search/?api=1&query=23.69031422,90.43465871"
"G15_02",15,1,"https://www.google.com/maps/search/?api=1&query=23.69510158,90.43089946"
"G15_03",15,1,"https://www.google.com/maps/search/?api=1&query=23.69238686,90.43076869"
"G15_04",15,1,"https://www.google.com/maps/search/?api=1&query=23.69800660,90.43660742"
"G15_05",15,1,"https://www.google.com/maps/search/?api=1&query=23.69442328,90.42861046"
"G15_06",15,1,"https://www.google.com/maps/search/?api=1&query=23.69329461,90.43461467"
"G15_07",15,1,"https://www.google.com/maps/search/?api=1&query=23.69230248,90.43417699"
"G15_08",15,1,"https://www.google.com/maps/search/?api=1&query=23.69376551,90.43625379"
"G15_09",15,2,"https://www.google.com/maps/search/?api=1&query=23.72110009,90.43380077"
"G15_10",15,2,"https://www.google.com/maps/search/?api=1&query=23.72041362,90.42740180"
"G15_11",15,2,"https://www.google.com/maps/search/?api=1&query=23.71122543,90.42637125"
"G15_12",15,2,"https://www.google.com/maps/search/?api=1&query=23.72116369,90.42164164"
"G15_13",15,2,"https://www.google.com/maps/search/?api=1&query=23.71695270,90.42498478"
"G15_14",15,2,"https://www.google.com/maps/search/?api=1&query=23.71441256,90.42187854"
"G15_15",15,2,"https://www.google.com/maps/search/?api=1&query=23.72067607,90.42963578"
"G15_16",15,2,"https://www.google.com/maps/search/?api=1&query=23.72054319,90.43001042"
"G15_17",15,2,"https://www.google.com/maps/search/?api=1&query=23.72052061,90.42156330"
"G15_18",15,2,"https://www.google.com/maps/search/?api=1&query=23.71541971,90.42603205"
"G15_19",15,3,"https://www.google.com/maps/search/?api=1&query=23.71342319,90.43710964"
"G15_20",15,3,"https://www.google.com/maps/search/?api=1&query=23.71434911,90.44257596"
"G15_21",15,3,"https://www.google.com/maps/search/?api=1&query=23.71191248,90.43864713"
"G15_22",15,3,"https://www.google.com/maps/search/?api=1&query=23.71490318,90.43406208"
"G15_23",15,3,"https://www.google.com/maps/search/?api=1&query=23.70912141,90.43639913"
"G15_24",15,3,"https://www.google.com/maps/search/?api=1&query=23.71227206,90.43875781"
"G15_25",15,4,"https://www.google.com/maps/search/?api=1&query=23.69489136,90.42234233"
"G15_26",15,4,"https://www.google.com/maps/search/?api=1&query=23.69804620,90.42075211"
"G15_27",15,4,"https://www.google.com/maps/search/?api=1&query=23.70018195,90.42288749"
"G15_28",15,4,"https://www.google.com/maps/search/?api=1&query=23.70300459,90.41970985"
"G15_29",15,4,"https://www.google.com/maps/search/?api=1&query=23.70125409,90.42728735"
"G15_30",15,4,"https://www.google.com/maps/search/?api=1&query=23.70015933,90.42101312"
"G15_31",15,4,"https://www.google.com/maps/search/?api=1&query=23.70794921,90.42367530"
"G15_32",15,4,"https://www.google.com/maps/search/?api=1&query=23.69972693,90.42419592"
"G15_33",15,4,"https://www.google.com/maps/search/?api=1&query=23.70308457,90.42365749"
"G15_34",15,4,"https://www.google.com/maps/search/?api=1&query=23.70240409,90.42263961"
"G15_35",15,4,"https://www.google.com/maps/search/?api=1&query=23.69867165,90.42737121"
"G15_36",15,5,"https://www.google.com/maps/search/?api=1&query=23.70639101,90.42885731"
"G15_37",15,5,"https://www.google.com/maps/search/?api=1&query=23.70203844,90.43296044"
"G15_38",15,5,"https://www.google.com/maps/search/?api=1&query=23.70454536,90.43389159"
"G15_39",15,5,"https://www.google.com/maps/search/?api=1&query=23.70246332,90.43009606"
"G15_40",15,5,"https://www.google.com/maps/search/?api=1&query=23.70602828,90.42790405"
"G15_41",15,5,"https://www.google.com/maps/search/?api=1&query=23.70504538,90.43240768"
"G15_42",15,5,"https://www.google.com/maps/search/?api=1&query=23.70346044,90.43656094"
"G15_43",15,5,"https://www.google.com/maps/search/?api=1&query=23.70334352,90.43812621"
"G15_44",15,5,"https://www.google.com/maps/search/?api=1&query=23.70764042,90.42719619"
"G15_45",15,5,"https://www.google.com/maps/search/?api=1&query=23.70180413,90.43743273"
"G15_46",15,6,"https://www.google.com/maps/search/?api=1&query=23.72068193,90.40983551"
"G15_47",15,6,"https://www.google.com/maps/search/?api=1&query=23.71271036,90.40899117"
"G15_48",15,6,"https://www.google.com/maps/search/?api=1&query=23.71030200,90.40241936"
"G15_49",15,6,"https://www.google.com/maps/search/?api=1&query=23.71609766,90.41601347"
"G15_50",15,6,"https://www.google.com/maps/search/?api=1&query=23.71454505,90.41322815"
"G15_51",15,6,"https://www.google.com/maps/search/?api=1&query=23.71707940,90.41512297"
"G15_52",15,7,"https://www.google.com/maps/search/?api=1&query=23.70590813,90.41274726"
"G15_53",15,7,"https://www.google.com/maps/search/?api=1&query=23.71146422,90.41473327"
"G15_54",15,7,"https://www.google.com/maps/search/?api=1&query=23.70765488,90.41488806"
"G15_55",15,7,"https://www.google.com/maps/search/?api=1&query=23.70784517,90.41725328"
"G15_56",15,7,"https://www.google.com/maps/search/?api=1&query=23.71119025,90.41247395"
"G15_57",15,7,"https://www.google.com/maps/search/?api=1&query=23.71199423,90.42098749"
"G15_58",15,7,"https://www.google.com/maps/search/?api=1&query=23.71155609,90.41832174"
"G15_59",15,7,"https://www.google.com/maps/search/?api=1&query=23.71088101,90.41469406"
