"ID","group","day_cluster","link"
"G11_01",11,1,"https://www.google.com/maps/search/?api=1&query=23.87353472,90.39515632"
"G11_02",11,1,"https://www.google.com/maps/search/?api=1&query=23.86616341,90.39175841"
"G11_03",11,1,"https://www.google.com/maps/search/?api=1&query=23.87336429,90.39656692"
"G11_04",11,1,"https://www.google.com/maps/search/?api=1&query=23.87214094,90.38975992"
"G11_05",11,1,"https://www.google.com/maps/search/?api=1&query=23.87484516,90.39284840"
"G11_06",11,1,"https://www.google.com/maps/search/?api=1&query=23.87534493,90.38868550"
"G11_07",11,1,"https://www.google.com/maps/search/?api=1&query=23.86714893,90.39767795"
"G11_08",11,1,"https://www.google.com/maps/search/?api=1&query=23.86934048,90.38929969"
"G11_09",11,2,"https://www.google.com/maps/search/?api=1&query=23.86675867,90.38001617"
"G11_10",11,2,"https://www.google.com/maps/search/?api=1&query=23.87490347,90.37375826"
"G11_11",11,2,"https://www.google.com/maps/search/?api=1&query=23.87225541,90.38035803"
"G11_12",11,2,"https://www.google.com/maps/search/?api=1&query=23.87425049,90.37237437"
"G11_13",11,2,"https://www.google.com/maps/search/?api=1&query=23.86802378,90.38475775"
"G11_14",11,2,"https://www.google.com/maps/search/?api=1&query=23.86913205,90.37863875"
"G11_15",11,2,"https://www.google.com/maps/search/?api=1&query=23.87483929,90.37670319"
"G11_16",11,2,"https://www.google.com/maps/search/?api=1&query=23.86789361,90.37952763"
"G11_17",11,2,"https://www.google.com/maps/search/?api=1&query=23.86763026,90.36932394"
"G11_18",11,2,"https://www.google.com/maps/search/?api=1&query=23.86760366,90.37848523"
"G11_19",11,3,"https://www.google.com/maps/search/?api=1&query=23.88825051,90.38257574"
"G11_20",11,3,"https://www.google.com/maps/search/?api=1&query=23.88933777,90.37871140"
"G11_21",11,3,"https://www.google.com/maps/search/?api=1&query=23.89682602,90.38254323"
"G11_22",11,3,"https://www.google.com/maps/search/?api=1&query=23.88525646,90.38561095"
"G11_23",11,3,"https://www.google.com/maps/search/?api=1&query=23.88218475,90.38634434"
"G11_24",11,3,"https://www.google.com/maps/search/?api=1&query=23.89495473,90.38473655"
"G11_25",11,3,"https://www.google.com/maps/search/?api=1&query=23.89167857,90.38850313"
"G11_26",11,3,"https://www.google.com/maps/search/?api=1&query=23.89593208,90.38409811"
"G11_27",11,4,"https://www.google.com/maps/search/?api=1&query=23.88307530,90.37860245"
"G11_28",11,4,"https://www.google.com/maps/search/?api=1&query=23.88260416,90.37650183"
"G11_29",11,4,"https://www.google.com/maps/search/?api=1&query=23.88117994,90.37558384"
"G11_30",11,4,"https://www.google.com/maps/search/?api=1&query=23.88470769,90.37886244"
"G11_31",11,4,"https://www.google.com/maps/search/?api=1&query=23.89121914,90.36891827"
"G11_32",11,4,"https://www.google.com/maps/search/?api=1&query=23.88258229,90.37024548"
"G11_33",11,4,"https://www.google.com/maps/search/?api=1&query=23.88271294,90.37681684"
"G11_34",11,5,"https://www.google.com/maps/search/?api=1&query=23.86946881,90.39695164"
"G11_35",11,5,"https://www.google.com/maps/search/?api=1&query=23.86444854,90.39636922"
"G11_36",11,5,"https://www.google.com/maps/search/?api=1&query=23.86625475,90.39540925"
"G11_37",11,5,"https://www.google.com/maps/search/?api=1&query=23.86122499,90.38832088"
"G11_38",11,5,"https://www.google.com/maps/search/?api=1&query=23.85992693,90.39043217"
"G11_39",11,5,"https://www.google.com/maps/search/?api=1&query=23.86605821,90.38483361"
"G11_40",11,5,"https://www.google.com/maps/search/?api=1&query=23.85520765,90.38196901"
"G11_41",11,5,"https://www.google.com/maps/search/?api=1&query=23.86238636,90.39642929"
"G11_42",11,6,"https://www.google.com/maps/search/?api=1&query=23.87910828,90.36660084"
"G11_43",11,6,"https://www.google.com/maps/search/?api=1&query=23.88714281,90.35911934"
"G11_44",11,6,"https://www.google.com/maps/search/?api=1&query=23.85780409,90.35471306"
"G11_45",11,6,"https://www.google.com/maps/search/?api=1&query=23.87263687,90.36557426"
"G11_46",11,6,"https://www.google.com/maps/search/?api=1&query=23.88924498,90.36104730"
"G11_47",11,6,"https://www.google.com/maps/search/?api=1&query=23.86160227,90.35107213"
"G11_48",11,6,"https://www.google.com/maps/search/?api=1&query=23.87909303,90.35854719"
"G11_49",11,7,"https://www.google.com/maps/search/?api=1&query=23.87700745,90.40613634"
"G11_50",11,7,"https://www.google.com/maps/search/?api=1&query=23.88426940,90.39120202"
"G11_51",11,7,"https://www.google.com/maps/search/?api=1&query=23.87802735,90.39213477"
"G11_52",11,7,"https://www.google.com/maps/search/?api=1&query=23.88171844,90.40783877"
"G11_53",11,7,"https://www.google.com/maps/search/?api=1&query=23.88085138,90.40379868"
"G11_54",11,7,"https://www.google.com/maps/search/?api=1&query=23.87921759,90.40441348"
"G11_55",11,7,"https://www.google.com/maps/search/?api=1&query=23.87221167,90.40331521"
