"ID","group","day_cluster","link"
"G5_01",5,1,"https://www.google.com/maps/search/?api=1&query=23.75918517,90.41291040"
"G5_02",5,1,"https://www.google.com/maps/search/?api=1&query=23.76405312,90.41669062"
"G5_03",5,1,"https://www.google.com/maps/search/?api=1&query=23.76411556,90.41897728"
"G5_04",5,1,"https://www.google.com/maps/search/?api=1&query=23.76382962,90.41833155"
"G5_05",5,1,"https://www.google.com/maps/search/?api=1&query=23.75842609,90.41805310"
"G5_06",5,1,"https://www.google.com/maps/search/?api=1&query=23.76527934,90.41020103"
"G5_07",5,1,"https://www.google.com/maps/search/?api=1&query=23.76106205,90.41684308"
"G5_08",5,1,"https://www.google.com/maps/search/?api=1&query=23.76410618,90.41192014"
"G5_09",5,1,"https://www.google.com/maps/search/?api=1&query=23.76718543,90.41460046"
"G5_10",5,1,"https://www.google.com/maps/search/?api=1&query=23.76320396,90.41548056"
"G5_11",5,2,"https://www.google.com/maps/search/?api=1&query=23.76260222,90.40151370"
"G5_12",5,2,"https://www.google.com/maps/search/?api=1&query=23.76125564,90.40647338"
"G5_13",5,2,"https://www.google.com/maps/search/?api=1&query=23.76422803,90.40404067"
"G5_14",5,2,"https://www.google.com/maps/search/?api=1&query=23.76536459,90.40336657"
"G5_15",5,2,"https://www.google.com/maps/search/?api=1&query=23.76753227,90.40327270"
"G5_16",5,2,"https://www.google.com/maps/search/?api=1&query=23.76672764,90.40489840"
"G5_17",5,2,"https://www.google.com/maps/search/?api=1&query=23.76709784,90.40321341"
"G5_18",5,2,"https://www.google.com/maps/search/?api=1&query=23.77009545,90.39519758"
"G5_19",5,3,"https://www.google.com/maps/search/?api=1&query=23.73520713,90.40718509"
"G5_20",5,3,"https://www.google.com/maps/search/?api=1&query=23.74247729,90.41060714"
"G5_21",5,3,"https://www.google.com/maps/search/?api=1&query=23.73933604,90.40849641"
"G5_22",5,3,"https://www.google.com/maps/search/?api=1&query=23.74359921,90.40700652"
"G5_23",5,3,"https://www.google.com/maps/search/?api=1&query=23.74802002,90.40609588"
"G5_24",5,3,"https://www.google.com/maps/search/?api=1&query=23.74361511,90.41107392"
"G5_25",5,3,"https://www.google.com/maps/search/?api=1&query=23.74516510,90.41198284"
"G5_26",5,3,"https://www.google.com/maps/search/?api=1&query=23.74212908,90.40601491"
"G5_27",5,3,"https://www.google.com/maps/search/?api=1&query=23.73858649,90.40396406"
"G5_28",5,3,"https://www.google.com/maps/search/?api=1&query=23.74221816,90.40021047"
"G5_29",5,3,"https://www.google.com/maps/search/?api=1&query=23.73484036,90.40563584"
"G5_30",5,4,"https://www.google.com/maps/search/?api=1&query=23.75354031,90.41437663"
"G5_31",5,4,"https://www.google.com/maps/search/?api=1&query=23.75689106,90.41652060"
"G5_32",5,4,"https://www.google.com/maps/search/?api=1&query=23.75157598,90.41719607"
"G5_33",5,4,"https://www.google.com/maps/search/?api=1&query=23.74924629,90.41071532"
"G5_34",5,4,"https://www.google.com/maps/search/?api=1&query=23.75480373,90.41585618"
"G5_35",5,4,"https://www.google.com/maps/search/?api=1&query=23.75730539,90.41008516"
"G5_36",5,4,"https://www.google.com/maps/search/?api=1&query=23.75342234,90.41384030"
"G5_37",5,4,"https://www.google.com/maps/search/?api=1&query=23.74991925,90.41367998"
"G5_38",5,5,"https://www.google.com/maps/search/?api=1&query=23.75988997,90.40207460"
"G5_39",5,5,"https://www.google.com/maps/search/?api=1&query=23.76778527,90.39783063"
"G5_40",5,5,"https://www.google.com/maps/search/?api=1&query=23.75201955,90.40203728"
"G5_41",5,5,"https://www.google.com/maps/search/?api=1&query=23.76465698,90.39734605"
"G5_42",5,5,"https://www.google.com/maps/search/?api=1&query=23.75013691,90.40235073"
"G5_43",5,5,"https://www.google.com/maps/search/?api=1&query=23.75159266,90.40234639"
"G5_44",5,5,"https://www.google.com/maps/search/?api=1&query=23.75515926,90.39564328"
"G5_45",5,5,"https://www.google.com/maps/search/?api=1&query=23.76276987,90.39635315"
"G5_46",5,6,"https://www.google.com/maps/search/?api=1&query=23.76176485,90.38512881"
"G5_47",5,6,"https://www.google.com/maps/search/?api=1&query=23.76475722,90.39270958"
"G5_48",5,6,"https://www.google.com/maps/search/?api=1&query=23.76092386,90.38377346"
"G5_49",5,6,"https://www.google.com/maps/search/?api=1&query=23.75951505,90.38366555"
"G5_50",5,6,"https://www.google.com/maps/search/?api=1&query=23.77003616,90.39228526"
"G5_51",5,6,"https://www.google.com/maps/search/?api=1&query=23.75612039,90.38582656"
"G5_52",5,6,"https://www.google.com/maps/search/?api=1&query=23.75755358,90.38061929"
"G5_53",5,7,"https://www.google.com/maps/search/?api=1&query=23.74150413,90.39560956"
"G5_54",5,7,"https://www.google.com/maps/search/?api=1&query=23.74709135,90.38630979"
"G5_55",5,7,"https://www.google.com/maps/search/?api=1&query=23.73880300,90.39711840"
"G5_56",5,7,"https://www.google.com/maps/search/?api=1&query=23.73916376,90.39427198"
"G5_57",5,7,"https://www.google.com/maps/search/?api=1&query=23.74981167,90.38839695"
"G5_58",5,7,"https://www.google.com/maps/search/?api=1&query=23.74620136,90.38621089"
"G5_59",5,7,"https://www.google.com/maps/search/?api=1&query=23.74464752,90.38746850"
"G5_60",5,7,"https://www.google.com/maps/search/?api=1&query=23.74166422,90.38903051"
"G5_61",5,7,"https://www.google.com/maps/search/?api=1&query=23.75160374,90.38797040"
"G5_62",5,7,"https://www.google.com/maps/search/?api=1&query=23.74800392,90.39258733"
"G5_63",5,7,"https://www.google.com/maps/search/?api=1&query=23.74361780,90.38960469"
